iter	Passed	Remaining
0	1	160
1	4	214
2	5	185
3	6	164
4	8	154
5	9	147
6	10	144
7	12	140
8	13	136
9	14	133
10	16	130
11	17	129
12	18	126
13	20	124
14	21	123
15	22	120
16	24	118
17	25	116
18	26	114
19	28	113
20	29	112
21	31	110
22	32	109
23	34	108
24	35	107
25	37	105
26	38	103
27	39	102
28	40	100
29	42	98
30	43	96
31	44	95
32	46	94
33	47	93
34	49	91
35	50	89
36	51	88
37	53	86
38	54	85
39	55	83
40	57	82
41	57	79
42	59	78
43	60	76
44	61	75
45	63	74
46	64	73
47	66	71
48	68	70
49	70	70
50	71	68
51	73	67
52	74	65
53	75	64
54	76	62
55	77	61
56	79	59
57	80	58
58	82	57
59	83	55
60	84	54
61	85	52
62	88	51
63	90	50
64	91	49
65	92	47
66	94	46
67	95	44
68	96	43
69	98	42
70	99	40
71	100	39
72	101	37
73	103	36
74	104	34
75	106	33
76	107	32
77	108	30
78	110	29
79	111	27
80	112	26
81	114	25
82	115	23
83	117	22
84	118	20
85	120	19
86	121	18
87	123	16
88	124	15
89	125	13
90	127	12
91	128	11
92	129	9
93	131	8
94	132	6
95	133	5
96	135	4
97	136	2
98	137	1
99	139	0
